date,game,league,team_a,a_score,b_score,team_b,time,image
5-Aug,217,SL,UCT,112,50,Maties,19:00 - 20:30,results
5-Aug,218,L1/u18G,MVBC,48,28,UCT,19:00 - 20:30,mvbc
5-Aug,293,M1,Flames,71,44,Maties,20:30 - 22:00,results
5-Aug,294,SLL,UCT,26,40,CPUT Cats 2,20:30 - 22:00,results
7-Aug,295,SL,UCT,77,60,Cape Waves,19:00 - 20:30,results
7-Aug,296,SLL,Gugulethu Hustlers,49,45,Maties,19:00 - 20:30,results
7-Aug,297,SL,Maties,43,93,MVBC,20:30 - 22:00,mvbc
7-Aug,298,M1,UCT,65,68,Panthers,20:30 - 22:00,results
8-Aug,299,16B,Flames,1,133,WCSS,9:00 - 10:15,results
8-Aug,300,16B,Islamia College,29,42,MVBC,9:00 - 10:15,mvbc
8-Aug,301,12B,Islamia College,53,1,Turfhall Primary,10:15 - 11:30,results
8-Aug,302,16G,Eagles,20,0,Future Stars,10:15 - 11:30,results
8-Aug,303,14B,Cape Waves,34,11,Future Stars,11:30 - 12:45,results
8-Aug,304,14B,Heideveld,77,3,Turfhall Primary,11:30 - 12:45,results
8-Aug,305,16B,Future Stars,7,121,WCSS,12:45 - 14:00,results
8-Aug,306,16G,MVBC,72,9,Spartans,12:45 - 14:00,mvbc
8-Aug,307,16B,Heideveld,85,46,Islamia College,14:00 - 15:15,results
8-Aug,308,16G,Future Stars,24,27,Gugulethu Hustlers,14:00 - 15:15,results
8-Aug,309,16B,Cape Waves,20,55,MVBC,15:15 - 16:30,mvbc
8-Aug,310,16G,Themba - Elihle,8,72,WCSS,15:15 - 16:30,results
8-Aug,311,16B,Gugulethu Hustlers,46,101,Spartans,16:30 - 17:45,results
8-Aug,312,16G,Heideveld,55,13,Cape Waves,16:30 - 17:45,results
9-Aug,319,18B,Pinelands,18,83,Heideveld,13:00 - 14:30,results
9-Aug,314,SLL,Cape Waves,62,65,Maties,13:00 - 14:30,results
9-Aug,315,SL,Heideveld,87,57,Maties,14:30 - 16:00,results
9-Aug,316,M1,Hellas,54,33,Langa Kings,14:30 - 16:00,results
9-Aug,317,M1,Heideveld,46,63,UCT,16:00 - 17:30,results
9-Aug,318,M1,Maties,24,84,MVBC,16:00 - 17:30,mvbc
10-Aug,253,SL,CPUT Cats,69,78,UCT,19:00 - 20:30,results
10-Aug,220,SLL,UCT,56,49,Maties,19:00 - 20:30,results
10-Aug,255,SL,CPUT Alumni,81,34,Maties,20:30 - 22:00,results
10-Aug,245,SL,MVBC,81,63,Cape Waves,20:30 - 22:00,mvbc
12-Aug,313,SL,CPUT Alumni,77,43,UCT,19:00 - 20:30,results
12-Aug,320,M1,MVBC,81,32,Langa Kings,19:00 - 20:30,mvbc
12-Aug,328,SL,CPUT Cats,56,82,Heideveld,20:30 - 22:00,results
12-Aug,329,M1,Maties,20,0,UCT,20:30 - 22:00,results
14-Aug,321,SL,Eagles,55,50,Maties,19:00 - 20:30,results
14-Aug,322,L1,UCT,33,27,Heideveld,19:00 - 20:30,results
14-Aug,323,M1,Heideveld,20,0,Maties,20:30 - 22:00,results
14-Aug,324,M1,Flames,53,45,UCT,20:30 - 22:00,results
15-Aug,325,16B,Islamia College,52,14,Flames,15:00 - 16:15,results
15-Aug,326,18B,Pinelands,36,69,MVBC,16:15 - 17:30,mvbc
15-Aug,327,16B,MVBC,70,5,Flames,17:30 - 18:45,mvbc
15-Aug,251,M1,Flames,76,52,Hellas,18:45 - 20:15,results
16-Aug,330,16G,Spartans,20,0,Themba - Elihle,12:00 - 13:00,results
16-Aug,331,16B,Future Stars,0,20,Gugulethu Hustlers,12:00 - 13:00,results
16-Aug,332,16B,WCSS,49,39,MVBC,13:00 - 14:30,mvbc
16-Aug,333,16B,Cape Waves,40,102,Heideveld,13:00 - 14:30,results
16-Aug,334,16G,Cape Waves,35,28,Spartans,14:30 - 16:00,results
16-Aug,335,16G,Eagles,20,0,Future Stars,14:30 - 16:00,results
16-Aug,336,16B,Eagles,47,95,WCSS,16:00 - 17:30,results
16-Aug,337,16B,Cape Waves,48,33,Gugulethu Hustlers,16:00 - 17:30,results
21-Aug,338,SL,MVBC,60,72,CPUT Cats,19:00 - 20:30,mvbc
21-Aug,339,SLL,CPUT Cats 2,52,32,UCT,19:00 - 20:30,results
21-Aug,340,SL,Maties,54,65,Gugulethu Hustlers,20:30 - 22:00,results
21-Aug,341,SLL,CPUT Cats 1,57,40,MVBC,20:30 - 22:00,mvbc
22-Aug,342,12G,Cape Waves,18,10,MVBC,09:00 - 10:15,mvbc
22-Aug,343,12G,Heideveld,21,16,Gugulethu Hustlers,10:15 - 11:30,results
22-Aug,226,14G,Heideveld,2,69,MVBC,11:30 - 12:45,mvbc
22-Aug,228,14B,Heideveld,38,32,MVBC,12:45 - 14:00,mvbc
22-Aug,344,14B,Cape Waves,35,12,Turfhall Primary,14:00 - 15:15,results
22-Aug,345,16B,Gugulethu Hustlers,21,95,Spartans,15:15 - 16:30,results
22-Aug,346,18B,Gugulethu Hustlers,36,38,Flames,16:30 - 17:45,results
23-Aug,347,M1,Flames,59,68,Panthers,13:00 - 14:30,results
23-Aug,348,M1,Heideveld,51,26,Dragons,14:30 - 16:00,results
23-Aug,349,M1,Eagles,63,40,Pinelands,16:00 - 17:30,results
27-Aug,350,M1,MVBC,63,34,Langa Kings,19:00 - 20:30,mvbc
27-Aug,351,SL,MVBC,103,72,Gugulethu Hustlers,20:30 - 22:00,mvbc
27-Aug,353,L1,UCT,15,71,MVBC,19:00 - 20:30,mvbc
27-Aug,354,SLL,Lethal Ladies,51,29,UCT,20:30 - 22:00,results
27-Aug,355,M1,UCT,44,23,Dragons,20:30 - 22:00,results
28-Aug,356,M1,Hellas,39,59,Eagles,19:00 - 20:30,results
28-Aug,357,M1,Panthers,59,45,Pinelands,20:30 - 22:00,results
29-Aug,358,12B,Heideveld,13,50,MVBC,08:30 - 09:45,mvbc
29-Aug,359,16B,WCSS,20,0,Islamia College,09:45 - 11:00,results
29-Aug,360,16G,WCSS,30,61,MVBC,11:00 - 12:15,mvbc
29-Aug,361,16B,Heideveld,69,41,Eagles,12:15 - 13:30,results
29-Aug,362,16G,Heideveld,51,23,Spartans,13:30 - 14:45,results
29-Aug,363,16B,MVBC,50,70,Spartans,14:45 - 16:00,mvbc
29-Aug,364,18B,Heideveld,164,12,Themba - Elihle,16:00 - 17:15,results
29-Aug,365,18B,WCSS,55,53,MVBC,17:15 - 18:30,mvbc
29-Aug,366,12G,Turfhall Primary,5,31,Cape Waves,09:00 - 10:15,results
29-Aug,367,14G,Turfhall Primary,2,53,Cape Waves,10:15 - 11:30,results
29-Aug,368,12B,Islamia College,18,26,Cape Waves,11:30 - 12:45,results
29-Aug,369,12B,Future Stars,19,16,Turfhall Primary,12:45 - 14:00,results
29-Aug,370,14G,Future Stars,45,10,Turfhall Primary,14:00 - 15:15,results
29-Aug,371,16G,Future Stars,30,36,Gugulethu Hustlers,15:15 - 16:30,results
29-Aug,372,16B,Future Stars,0,20,Gugulethu Hustlers,16:30 - 17:45,results
30-Aug,373,SL,CPUT Alumni,137,48,Cape Waves,13:00 - 14:30,results
30-Aug,374,18B,Gugulethu Hustlers,27,110,MVBC,13:00 - 14:30,mvbc
30-Aug,375,SL,UCT,55,74,MVBC,14:30 - 16:00,mvbc
30-Aug,376,SLL,Gugulethu Hustlers,36,35,CPUT Cats 2,14:30 - 16:00,results
30-Aug,377,SL,CPUT Cats,94,32,Maties,16:00 - 17:30,results
30-Aug,378,L1,Panthers,23,74,MVBC,16:00 - 17:30,mvbc
30-Aug,379,16B,Islamia College,12,86,Eagles,13:00 - 14:30,results
30-Aug,380,18B,WCSS,87,39,Flames,14:30 - 16:00,results
30-Aug,381,M1,Flames,45,56,Eagles,16:00 - 17:30,results
4-Sep,382,SLL,CPUT Cats 1,65,22,Maties,19:00 - 20:30,results
4-Sep,383,SLL,MVBC,65,47,Cape Waves,19:00 - 20:30,mvbc
4-Sep,384,SL,Cape Waves,84,53,Eagles,20:30 - 22:00,results
4-Sep,385,M1,Pinelands,59,57,Flames,20:30 - 22:00,results
5-Sep,388,12G,Islamia College,18,4,Turfhall Primary,09:00 - 10:15,results
5-Sep,389,12B,Islamia College,58,4,Turfhall Primary,10:15 - 11:30,results
5-Sep,390,14B,Eagles,24,12,Turfhall Primary,11:30 - 12:45,results
5-Sep,391,16G,Eagles,25,60,WCSS,12:45 -14:00,results
